"Project","GGW Feature ID","Feature type","Feature name","NZGD1949 Longitude","NZGD1949 Latitude","Feature length","Feature length unit","Event ID","Event start date (NZST)","Sample ID","Sample date (NZST)","Sample Type","Pumping duration","Pumping rate","Sample Comments","Sample analysis received date (NZST)","Sample analysis completed date (NZST)","Parameter","Analysis ID","Analysis by","Analysis lab","Analysis Lab ID","Result ID","Field ID","Is field analysis?","Analysis comments","Parameter type","Result","Parameter units","Result type","Result comments","Analysis parameter","Equipment","Method","Parameter reference","Parameter error (absolute)","Parameter error (%)","Parameter minimum detection","Parameter maximum detection","Parameter correction","Metadata","Collection method","Clarity","Colour","Odour","Sampling protocol"
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"275. Ammonium mg/L as N - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5934,"WAI WEST",false,,"Ammonium mg/L as N - filterable","<0.01","mg/L","Instant",,"Ammonium mg/L as N - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.01,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"100. Iron mg/L All forms as Fe - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5326,"WAI WEST",false,,"Iron mg/L All forms as Fe - filterable","<0.02","mg/L","Instant",,"Iron mg/L All forms as Fe - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,0.02,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"97. Sodium mg/L - All Forms as Na - filterable, AE - high temp flame, Sodium in water by FLAA, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",4987,"WAI WEST",false,,"Sodium mg/L - All Forms as Na - filterable","6.9","mg/L","Instant",,"Sodium mg/L - All Forms as Na - filterable","AE - high temp flame","Sodium in water by FLAA","Measured",,,0.04,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"270. Bromine mg/L (bromide) as Br - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5792,"WAI WEST",false,,"Bromine mg/L (bromide) as Br - filterable","<0.10","mg/L","Instant",,"Bromine mg/L (bromide) as Br - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.1,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"274. Phosphorus mg/L as P- Reactive - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5954,"WAI WEST",false,,"Phosphorus mg/L as P- Reactive - filterable","<0.05","mg/L","Instant",,"Phosphorus mg/L as P- Reactive - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.05,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"272. Sulphate mg/L as SO4 - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5709,"WAI WEST",false,,"Sulphate mg/L as SO4 - filterable","5.2","mg/L","Instant",,"Sulphate mg/L as SO4 - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.1,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"96. Potassium mg/L - All Forms as K -filterable, AE - high temp flame, Potassium in water by FLAA, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5521,"WAI WEST",false,,"Potassium mg/L - All Forms as K -filterable","0.67","mg/L","Instant",,"Potassium mg/L - All Forms as K -filterable","AE - high temp flame","Potassium in water by FLAA","Measured",,,0.04,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"197. Manganese mg/L All forms as Mn - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5471,"WAI WEST",false,,"Manganese mg/L All forms as Mn - filterable","<0.005","mg/L","Instant",,"Manganese mg/L All forms as Mn - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,0.005,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"53. Weather, Observation by a person, Unknown method, Measured",29445,"Unknown Person. Unknown Organisation (Unk. Org.)","Unknown Person, , Unknown Organisation"," ",6350,"WAI WEST",true,,"Weather","Fine, 5% cloud, calm",,"Instant",,"Weather","Observation by a person","Unknown method","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"273. Nitrate mg/L as N - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5979,"WAI WEST",false,,"Nitrate mg/L as N - filterable","4.8","mg/L","Instant",,"Nitrate mg/L as N - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.03,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"271. Fluorine mg/L (fluoride) as F - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5736,"WAI WEST",false,,"Fluorine mg/L (fluoride) as F - filterable","0.04","mg/L","Instant",,"Fluorine mg/L (fluoride) as F - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.03,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"94. Magnesium mg/L - All Forms as Mg - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5180,"WAI WEST",false,,"Magnesium mg/L - All Forms as Mg - filterable","8.9","mg/L","Instant",,"Magnesium mg/L - All Forms as Mg - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"90. Acidity pH units, Ph meter, pH in water, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",4979,"WAI WEST",false,,"Acidity pH units","6.79","pH","Instant",,"Acidity pH units","Ph meter","pH in water","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"269. Chloride mg/L as Cl - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5649,"WAI WEST",false,,"Chloride mg/L as Cl - filterable","14.9","mg/L","Instant",,"Chloride mg/L as Cl - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.04,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"92. Bicarbonate mg/L as HCO3 - total, Glass buret, Alkalinity in water by titration, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5143,"WAI WEST",false,,"Bicarbonate mg/L as HCO3 - total","69","mg/L","Instant",,"Bicarbonate mg/L as HCO3 - total","Glass buret","Alkalinity in water by titration","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"202. Total solids (electrical conductivity) uS/cm at 25 degrees, Generic Conductivity Meter, Conductivity in water, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",4901,"WAI WEST",false,,"Total solids (electrical conductivity) uS/cm at 25 degrees","180","uS/cm","Instant",,"Total solids (electrical conductivity) uS/cm at 25 degrees","Generic Conductivity Meter","Conductivity in water","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"105. Acidity pH units, YSI 60 multimeter, Unknown method, Measured",29445,"Unknown Person. Unknown Organisation (Unk. Org.)","Unknown Person, , Unknown Organisation"," ",6685,"WAI WEST",true,,"Acidity pH units","7.13","pH","Instant",,"Acidity pH units","YSI 60 multimeter","Unknown method","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"68. Temperature Deg. C, YSI 55 multimeter, Unknown method, Measured",29445,"Unknown Person. Unknown Organisation (Unk. Org.)","Unknown Person, , Unknown Organisation"," ",6564,"WAI WEST",true,,"Temperature Deg. C","14.9","Deg. C","Instant",,"Temperature Deg. C","YSI 55 multimeter","Unknown method","Measured",0.2,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"69. Oxygen mg/L - All Forms as O2 - dissolved, YSI 55 multimeter, Unknown method, Measured",29445,"Unknown Person. Unknown Organisation (Unk. Org.)","Unknown Person, , Unknown Organisation"," ",6260,"WAI WEST",true,,"Oxygen mg/L - All Forms as O2 - dissolved","6.7","mg/L","Instant","Original reading = 70%","Oxygen mg/L - All Forms as O2 - dissolved","YSI 55 multimeter","Unknown method","Measured",0.3,3.0,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"221. Temperature Deg. C- analysis temperature , Unknown Equipment, Unknown method, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5526,"WAI WEST",false,,"Temperature Deg. C- analysis temperature ","22","Deg. C","Instant",,"Temperature Deg. C- analysis temperature ","Unknown Equipment","Unknown method","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"101. Silicon mg/L All forms as SiO2 - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5437,"WAI WEST",false,,"Silicon mg/L All forms as SiO2 - filterable","15.2","mg/L","Instant",,"Silicon mg/L All forms as SiO2 - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",73,"Unspecified Bore","WWD802",173.13434373964392,-41.31499266342268,8.0,"Metres",2794,2003-03-25 11:45:00.0,18488,2003-03-25 11:45:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"201. Calcium mg/L - All Forms as Ca - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29248,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300544",5107,"WAI WEST",false,,"Calcium mg/L - All Forms as Ca - filterable","13.0","mg/L","Instant",,"Calcium mg/L - All Forms as Ca - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,0.05,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"69. Oxygen mg/L - All Forms as O2 - dissolved, YSI 55 multimeter, Unknown method, Measured",29443,"Unknown Person. Unknown Organisation (Unk. Org.)","Unknown Person, , Unknown Organisation"," ",6258,"TDC BORE",true,,"Oxygen mg/L - All Forms as O2 - dissolved","7.8","mg/L","Instant","Original reading = 80.9%","Oxygen mg/L - All Forms as O2 - dissolved","YSI 55 multimeter","Unknown method","Measured",0.3,3.0,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"197. Manganese mg/L All forms as Mn - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",5467,"TDC BORE",false,,"Manganese mg/L All forms as Mn - filterable","<0.005","mg/L","Instant",,"Manganese mg/L All forms as Mn - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,0.005,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"271. Fluorine mg/L (fluoride) as F - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",5761,"TDC BORE",false,,"Fluorine mg/L (fluoride) as F - filterable","0.03","mg/L","Instant",,"Fluorine mg/L (fluoride) as F - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.03,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"105. Acidity pH units, YSI 60 multimeter, Unknown method, Measured",29443,"Unknown Person. Unknown Organisation (Unk. Org.)","Unknown Person, , Unknown Organisation"," ",6683,"TDC BORE",true,,"Acidity pH units","7.93","pH","Instant",,"Acidity pH units","YSI 60 multimeter","Unknown method","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"96. Potassium mg/L - All Forms as K -filterable, AE - high temp flame, Potassium in water by FLAA, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",5569,"TDC BORE",false,,"Potassium mg/L - All Forms as K -filterable","0.82","mg/L","Instant",,"Potassium mg/L - All Forms as K -filterable","AE - high temp flame","Potassium in water by FLAA","Measured",,,0.04,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"100. Iron mg/L All forms as Fe - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",5328,"TDC BORE",false,,"Iron mg/L All forms as Fe - filterable","<0.02","mg/L","Instant",,"Iron mg/L All forms as Fe - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,0.02,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"92. Bicarbonate mg/L as HCO3 - total, Glass buret, Alkalinity in water by titration, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",5087,"TDC BORE",false,,"Bicarbonate mg/L as HCO3 - total","105","mg/L","Instant",,"Bicarbonate mg/L as HCO3 - total","Glass buret","Alkalinity in water by titration","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"201. Calcium mg/L - All Forms as Ca - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",5249,"TDC BORE",false,,"Calcium mg/L - All Forms as Ca - filterable","19.9","mg/L","Instant",,"Calcium mg/L - All Forms as Ca - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,0.05,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"68. Temperature Deg. C, YSI 55 multimeter, Unknown method, Measured",29443,"Unknown Person. Unknown Organisation (Unk. Org.)","Unknown Person, , Unknown Organisation"," ",6562,"TDC BORE",true,,"Temperature Deg. C","14.5","Deg. C","Instant",,"Temperature Deg. C","YSI 55 multimeter","Unknown method","Measured",0.2,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"269. Chloride mg/L as Cl - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",5677,"TDC BORE",false,,"Chloride mg/L as Cl - filterable","21","mg/L","Instant",,"Chloride mg/L as Cl - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.04,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"275. Ammonium mg/L as N - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",6044,"TDC BORE",false,,"Ammonium mg/L as N - filterable","<0.01","mg/L","Instant",,"Ammonium mg/L as N - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.01,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"221. Temperature Deg. C- analysis temperature , Unknown Equipment, Unknown method, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",5572,"TDC BORE",false,,"Temperature Deg. C- analysis temperature ","21","Deg. C","Instant",,"Temperature Deg. C- analysis temperature ","Unknown Equipment","Unknown method","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"97. Sodium mg/L - All Forms as Na - filterable, AE - high temp flame, Sodium in water by FLAA, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",5149,"TDC BORE",false,,"Sodium mg/L - All Forms as Na - filterable","10.0","mg/L","Instant",,"Sodium mg/L - All Forms as Na - filterable","AE - high temp flame","Sodium in water by FLAA","Measured",,,0.04,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"90. Acidity pH units, Ph meter, pH in water, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",4856,"TDC BORE",false,,"Acidity pH units","7.56","pH","Instant",,"Acidity pH units","Ph meter","pH in water","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"273. Nitrate mg/L as N - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",5980,"TDC BORE",false,,"Nitrate mg/L as N - filterable","13.1","mg/L","Instant",,"Nitrate mg/L as N - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.03,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"274. Phosphorus mg/L as P- Reactive - filterable, Ion exchange chromatograph, Anions in water by ion chromatography, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",5922,"TDC BORE",false,,"Phosphorus mg/L as P- Reactive - filterable","<0.05","mg/L","Instant",,"Phosphorus mg/L as P- Reactive - filterable","Ion exchange chromatograph","Anions in water by ion chromatography","Measured",,,0.05,,,"March 2003 NGMP sample sheets",,,,,
"National Groundwater Monitoring Programme",10,"Unspecified Bore","WWD32",173.164340518979,-41.32323900314092,38.1,"Metres",11916,2003-03-26 09:35:00.0,18486,2003-03-26 09:35:00.0,"Regular",,,,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0,"101. Silicon mg/L All forms as SiO2 - filterable, AE - atomic emission spectrophotometer (AESICP), Metals in water by ICP, Measured",29246,"Unknown Person. GNS Science (GNS)","Unknown Person, , GNS Science","2300542",5401,"TDC BORE",false,,"Silicon mg/L All forms as SiO2 - filterable","29","mg/L","Instant",,"Silicon mg/L All forms as SiO2 - filterable","AE - atomic emission spectrophotometer (AESICP)","Metals in water by ICP","Measured",,,,,,"March 2003 NGMP sample sheets",,,,,
