"","DataID","LabRefNo","CollectionDate","CollectionTime","FieldID","TestName","Units","Method","Result","SiteName","SiteID","HilltopDataSource","InformationSource","CollectedOn","NonDetect","ResultNumeric","SampleTypeID"
"83",18487,29247,2003-03-26,"11:40:00","WWD3115","Chloride mg/L as Cl - filterable","mg/L","Anions in water by ion chromatography","8.1","GW 3115 - Drummond","396","Chloride","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","8.1",1
"84",18487,29247,2003-03-26,"11:40:00","WWD3115","Manganese mg/L All forms as Mn - filterable","mg/L","Metals in water by ICP","2.4","GW 3115 - Drummond","396","Dissolved Manganese","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","2.4",1
"85",18487,29247,2003-03-26,"11:40:00","WWD3115","Magnesium mg/L - All Forms as Mg - filterable","mg/L","Metals in water by ICP","14.3","GW 3115 - Drummond","396","Dissolved Magnesium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","14.3",1
"86",18487,29247,2003-03-26,"11:40:00","WWD3115","Total solids (electrical conductivity) uS/cm at 25 degrees","uS/cm","Conductivity in water","230","GW 3115 - Drummond","396","Conductivity @ 25 deg C","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","230",1
"87",18487,29247,2003-03-26,"11:40:00","WWD3115","Fluorine mg/L (fluoride) as F - filterable","mg/L","Anions in water by ion chromatography","0.03","GW 3115 - Drummond","396","Fluoride","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","0.03",1
"88",18487,29247,2003-03-26,"11:40:00","WWD3115","Acidity pH units","pH","pH in water","6.48","GW 3115 - Drummond","396","pH","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","6.48",1
"89",18487,29247,2003-03-26,"11:40:00","WWD3115","Calcium mg/L - All Forms as Ca - filterable","mg/L","Metals in water by ICP","15.2","GW 3115 - Drummond","396","Dissolved Calcium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","15.2",1
"91",18487,29247,2003-03-26,"11:40:00","WWD3115","Potassium mg/L - All Forms as K -filterable","mg/L","Potassium in water by FLAA","1.3","GW 3115 - Drummond","396","Dissolved Potassium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 11:40:00.0","NULL","1.3",1
"92",18480,29240,2003-03-26,"12:10:00","WWD3314","Potassium mg/L - All Forms as K -filterable","mg/L","Potassium in water by FLAA","4.6","GW 3314 - Bensemann","369","Dissolved Potassium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","4.6",1
"93",18480,29240,2003-03-26,"12:10:00","WWD3314","Phosphorus mg/L as P- Reactive - filterable","mg/L","Anions in water by ion chromatography","<0.05","GW 3314 - Bensemann","369","Dissolved Reactive Phosphorus","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","<","0.05",1
"94",18480,29240,2003-03-26,"12:10:00","WWD3314","Magnesium mg/L - All Forms as Mg - filterable","mg/L","Metals in water by ICP","9.7","GW 3314 - Bensemann","369","Dissolved Magnesium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","9.7",1
"95",18480,29240,2003-03-26,"12:10:00","WWD3314","Chloride mg/L as Cl - filterable","mg/L","Anions in water by ion chromatography","10.1","GW 3314 - Bensemann","369","Chloride","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","10.1",1
"96",18480,29240,2003-03-26,"12:10:00","WWD3314","Bromine mg/L (bromide) as Br - filterable","mg/L","Anions in water by ion chromatography","<0.10","GW 3314 - Bensemann","369","Bromide","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","<","0.10",1
"98",18480,29240,2003-03-26,"12:10:00","WWD3314","Iron mg/L All forms as Fe - filterable","mg/L","Metals in water by ICP","2.9","GW 3314 - Bensemann","369","Dissolved Iron","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","2.9",1
"99",18480,29240,2003-03-26,"12:10:00","WWD3314","Bicarbonate mg/L as HCO3 - total","mg/L","Alkalinity in water by titration","69","GW 3314 - Bensemann","369","Alkalinity (HCO3)","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","69",1
"100",18480,29240,2003-03-26,"12:10:00","WWD3314","Ammonium mg/L as N - filterable","mg/L","Anions in water by ion chromatography","0.02","GW 3314 - Bensemann","369","Total Ammonia","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","0.02",1
"101",18480,29240,2003-03-26,"12:10:00","WWD3314","Sulphate mg/L as SO4 - filterable","mg/L","Anions in water by ion chromatography","37","GW 3314 - Bensemann","369","Sulphate","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","37",1
"102",18480,29240,2003-03-26,"12:10:00","WWD3314","Calcium mg/L - All Forms as Ca - filterable","mg/L","Metals in water by ICP","19.7","GW 3314 - Bensemann","369","Dissolved Calcium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","19.7",1
"103",18480,29240,2003-03-26,"12:10:00","WWD3314","Acidity pH units","pH","pH in water","6.16","GW 3314 - Bensemann","369","pH","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","6.16",1
"104",18480,29240,2003-03-26,"12:10:00","WWD3314","Total solids (electrical conductivity) uS/cm at 25 degrees","uS/cm","Conductivity in water","220","GW 3314 - Bensemann","369","Conductivity @ 25 deg C","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","220",1
"105",18480,29240,2003-03-26,"12:10:00","WWD3314","Nitrate mg/L as N - filterable","mg/L","Anions in water by ion chromatography","0.43","GW 3314 - Bensemann","369","Nitrate-N (IC) GNS","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","0.43",1
"106",18480,29240,2003-03-26,"12:10:00","WWD3314","Fluorine mg/L (fluoride) as F - filterable","mg/L","Anions in water by ion chromatography","<0.03","GW 3314 - Bensemann","369","Fluoride","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","<","0.03",1
"107",18480,29240,2003-03-26,"12:10:00","WWD3314","Silicon mg/L All forms as SiO2 - filterable","mg/L","Metals in water by ICP","14.5","GW 3314 - Bensemann","369","Silica","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","14.5",1
"108",18480,29240,2003-03-26,"12:10:00","WWD3314","Sodium mg/L - All Forms as Na - filterable","mg/L","Sodium in water by FLAA","6.2","GW 3314 - Bensemann","369","Dissolved Sodium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","6.2",1
"109",18480,29240,2003-03-26,"12:10:00","WWD3314","Manganese mg/L All forms as Mn - filterable","mg/L","Metals in water by ICP","0.28","GW 3314 - Bensemann","369","Dissolved Manganese","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 12:10:00.0","NULL","0.28",1
"110",18484,29244,2003-03-26,"13:40:00","WWD8404","Manganese mg/L All forms as Mn - filterable","mg/L","Metals in water by ICP","0.48","GW 8404 - Wrattens","336","Dissolved Manganese","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","0.48",1
"111",18484,29244,2003-03-26,"13:40:00","WWD8404","Calcium mg/L - All Forms as Ca - filterable","mg/L","Metals in water by ICP","16.5","GW 8404 - Wrattens","336","Dissolved Calcium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","16.5",1
"112",18484,29244,2003-03-26,"13:40:00","WWD8404","Phosphorus mg/L as P- Reactive - filterable","mg/L","Anions in water by ion chromatography","<0.05","GW 8404 - Wrattens","336","Dissolved Reactive Phosphorus","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","<","0.05",1
"113",18484,29244,2003-03-26,"13:40:00","WWD8404","Bromine mg/L (bromide) as Br - filterable","mg/L","Anions in water by ion chromatography","<0.10","GW 8404 - Wrattens","336","Bromide","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","<","0.10",1
"115",18484,29244,2003-03-26,"13:40:00","WWD8404","Magnesium mg/L - All Forms as Mg - filterable","mg/L","Metals in water by ICP","7.6","GW 8404 - Wrattens","336","Dissolved Magnesium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","7.6",1
"116",18484,29244,2003-03-26,"13:40:00","WWD8404","Bicarbonate mg/L as HCO3 - total","mg/L","Alkalinity in water by titration","127","GW 8404 - Wrattens","336","Alkalinity (HCO3)","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","127",1
"117",18484,29244,2003-03-26,"13:40:00","WWD8404","Acidity pH units","pH","pH in water","6.59","GW 8404 - Wrattens","336","pH","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","6.59",1
"118",18484,29244,2003-03-26,"13:40:00","WWD8404","Chloride mg/L as Cl - filterable","mg/L","Anions in water by ion chromatography","5.1","GW 8404 - Wrattens","336","Chloride","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","5.1",1
"119",18484,29244,2003-03-26,"13:40:00","WWD8404","Potassium mg/L - All Forms as K -filterable","mg/L","Potassium in water by FLAA","1.5","GW 8404 - Wrattens","336","Dissolved Potassium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","1.5",1
"120",18484,29244,2003-03-26,"13:40:00","WWD8404","Silicon mg/L All forms as SiO2 - filterable","mg/L","Metals in water by ICP","69","GW 8404 - Wrattens","336","Silica","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","69",1
"121",18484,29244,2003-03-26,"13:40:00","WWD8404","Sodium mg/L - All Forms as Na - filterable","mg/L","Sodium in water by FLAA","18.7","GW 8404 - Wrattens","336","Dissolved Sodium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","18.7",1
"122",18484,29244,2003-03-26,"13:40:00","WWD8404","Total solids (electrical conductivity) uS/cm at 25 degrees","uS/cm","Conductivity in water","230","GW 8404 - Wrattens","336","Conductivity @ 25 deg C","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","230",1
"123",18484,29244,2003-03-26,"13:40:00","WWD8404","Ammonium mg/L as N - filterable","mg/L","Anions in water by ion chromatography","0.02","GW 8404 - Wrattens","336","Total Ammonia","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","0.02",1
"124",18484,29244,2003-03-26,"13:40:00","WWD8404","Fluorine mg/L (fluoride) as F - filterable","mg/L","Anions in water by ion chromatography","0.37","GW 8404 - Wrattens","336","Fluoride","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","0.37",1
"125",18484,29244,2003-03-26,"13:40:00","WWD8404","Nitrate mg/L as N - filterable","mg/L","Anions in water by ion chromatography","<0.03","GW 8404 - Wrattens","336","Nitrate-N (IC) GNS","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","<","0.03",1
"126",18484,29244,2003-03-26,"13:40:00","WWD8404","Sulphate mg/L as SO4 - filterable","mg/L","Anions in water by ion chromatography","2.2","GW 8404 - Wrattens","336","Sulphate","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","2.2",1
"127",18484,29244,2003-03-26,"13:40:00","WWD8404","Iron mg/L All forms as Fe - filterable","mg/L","Metals in water by ICP","4.3","GW 8404 - Wrattens","336","Dissolved Iron","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 13:40:00.0","NULL","4.3",1
"128",18482,29242,2003-03-26,"14:10:00","WWD8407","Nitrate mg/L as N - filterable","mg/L","Anions in water by ion chromatography","<0.03","GW 8407 - Williams","352","Nitrate-N (IC) GNS","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","<","0.03",1
"130",18482,29242,2003-03-26,"14:10:00","WWD8407","Sodium mg/L - All Forms as Na - filterable","mg/L","Sodium in water by FLAA","25","GW 8407 - Williams","352","Dissolved Sodium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","25",1
"131",18482,29242,2003-03-26,"14:10:00","WWD8407","Manganese mg/L All forms as Mn - filterable","mg/L","Metals in water by ICP","0.014","GW 8407 - Williams","352","Dissolved Manganese","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","0.014",1
"132",18482,29242,2003-03-26,"14:10:00","WWD8407","Phosphorus mg/L as P- Reactive - filterable","mg/L","Anions in water by ion chromatography","<0.05","GW 8407 - Williams","352","Dissolved Reactive Phosphorus","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","<","0.05",1
"133",18482,29242,2003-03-26,"14:10:00","WWD8407","Bromine mg/L (bromide) as Br - filterable","mg/L","Anions in water by ion chromatography","<0.10","GW 8407 - Williams","352","Bromide","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","<","0.10",1
"134",18482,29242,2003-03-26,"14:10:00","WWD8407","Bicarbonate mg/L as HCO3 - total","mg/L","Alkalinity in water by titration","182","GW 8407 - Williams","352","Alkalinity (HCO3)","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","182",1
"135",18482,29242,2003-03-26,"14:10:00","WWD8407","Magnesium mg/L - All Forms as Mg - filterable","mg/L","Metals in water by ICP","7.0","GW 8407 - Williams","352","Dissolved Magnesium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","7.0",1
"136",18482,29242,2003-03-26,"14:10:00","WWD8407","Ammonium mg/L as N - filterable","mg/L","Anions in water by ion chromatography","0.01","GW 8407 - Williams","352","Total Ammonia","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","0.01",1
"137",18482,29242,2003-03-26,"14:10:00","WWD8407","Fluorine mg/L (fluoride) as F - filterable","mg/L","Anions in water by ion chromatography","0.19","GW 8407 - Williams","352","Fluoride","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","0.19",1
"138",18482,29242,2003-03-26,"14:10:00","WWD8407","Silicon mg/L All forms as SiO2 - filterable","mg/L","Metals in water by ICP","25","GW 8407 - Williams","352","Silica","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","25",1
"139",18482,29242,2003-03-26,"14:10:00","WWD8407","Calcium mg/L - All Forms as Ca - filterable","mg/L","Metals in water by ICP","30","GW 8407 - Williams","352","Dissolved Calcium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","30",1
"140",18482,29242,2003-03-26,"14:10:00","WWD8407","Acidity pH units","pH","pH in water","7.97","GW 8407 - Williams","352","pH","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","7.97",1
"141",18482,29242,2003-03-26,"14:10:00","WWD8407","Sulphate mg/L as SO4 - filterable","mg/L","Anions in water by ion chromatography","1.7","GW 8407 - Williams","352","Sulphate","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","1.7",1
"142",18482,29242,2003-03-26,"14:10:00","WWD8407","Chloride mg/L as Cl - filterable","mg/L","Anions in water by ion chromatography","5.9","GW 8407 - Williams","352","Chloride","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","5.9",1
"143",18482,29242,2003-03-26,"14:10:00","WWD8407","Iron mg/L All forms as Fe - filterable","mg/L","Metals in water by ICP","0.028","GW 8407 - Williams","352","Dissolved Iron","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","0.028",1
"144",18482,29242,2003-03-26,"14:10:00","WWD8407","Total solids (electrical conductivity) uS/cm at 25 degrees","uS/cm","Conductivity in water","300","GW 8407 - Williams","352","Conductivity @ 25 deg C","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","300",1
"145",18482,29242,2003-03-26,"14:10:00","WWD8407","Potassium mg/L - All Forms as K -filterable","mg/L","Potassium in water by FLAA","0.72","GW 8407 - Williams","352","Dissolved Potassium","DORIS\Environmental Management\Groundwater\Projects\Quarterly Sampling GNS NGMP\Data\2003 Mar ENVMON Import File.csv","2003-03-26 14:10:00.0","NULL","0.72",1
